plot,mtry,rmse_trn,rmse_trns_se,rsq_trn,ME,ME.se,MAE,MAE.se,RMSE,RMSE.se,Rsq,cor
mai0,7,0.0461687917658309,0.00450209823965797,0.95659916352345,0.000274907552764404,0.00138595740359491,0.0199979937205656,0.00118360656734545,0.0384347589840789,0.00019141246080785,0.97226544761349,0.986035216213645
mai0,7,0.0452756750804278,0.00327257381371741,0.958968490814107,-0.000588435064934912,0.00156770545653319,0.0212815338074624,0.00136718659849292,0.0434777858478214,0.000228586018557307,0.961818787934829,0.980723604250876
mai0,7,0.0445729980106442,0.00564484091647533,0.959814295466142,-0.00148946325968401,0.00161680228620534,0.0221060654972734,0.0014076442505945,0.0448600341989612,0.000252240327371931,0.961201107133918,0.980408642931057
mai0,7,0.0444067383718755,0.0053523971166144,0.960500358945009,0.00159818199116901,0.00160190746234674,0.0239863675199262,0.00134953878369023,0.0444509939929249,0.000193581680074222,0.958832639194954,0.979199999588927
mai0,4,0.046859801870958,0.00545082013332696,0.956121837594719,-0.00181366345847505,0.00164602429155216,0.0228734577075162,0.00142594380823669,0.0456816689146169,0.000282748133528365,0.957199547906209,0.978365753645439
mai0,7,0.044486588259671,0.00641500618818482,0.960404764847077,0.00128994123048679,0.00166908784306918,0.0231386932591219,0.00144630227757764,0.0463031948100651,0.000332267910337742,0.957516659122398,0.978527801915918
mai0,7,0.0431959721010422,0.00482334288116236,0.962275297502962,-0.000876270871985233,0.00160072693489609,0.0223636231704806,0.00138309760389828,0.0443981654846166,0.00024281811190901,0.962141514721895,0.980888125487252
mai0,7,0.0447864859436854,0.00396414867195817,0.959971650425517,-0.00201133374561982,0.00175471951279436,0.0232556382189244,0.00154305480870263,0.0487014133334473,0.000356339760062768,0.95222810265407,0.97582175762486
mai0,7,0.0447547606016818,0.00628507474588093,0.958978567321984,-0.00138852834467101,0.00155649838218297,0.0226674032158319,0.00132553363387647,0.0431853502744697,0.000203901284391149,0.963087324546855,0.981370126174042
mai0,4,0.0461123849885808,0.0069437242201981,0.957281796268284,8.29677811365485e-05,0.00167816084932781,0.0230549371681711,0.00145775041159872,0.0465368994852826,0.000301434921092065,0.956857021497807,0.978190687697346
