plot,mtry,rmse_trn,rmse_trns_se,rsq_trn,ME,ME.se,MAE,MAE.se,RMSE,RMSE.se,Rsq,cor
gra2,7,0.0284999296388723,0.0028934630518981,0.990931024055309,0.000112458210421447,0.00085136182634671,0.0129723402163241,0.000747795360017554,0.0271371825648733,6.17918144785438e-05,0.991117747225534,0.995548967768805
gra2,7,0.0278390308760165,0.00202838738160699,0.991169663489663,0.000369098656178202,0.000836843698034008,0.0128804523107183,0.000732903885473459,0.0266767413069185,5.80619438383423e-05,0.992002166611107,0.995993055503454
gra2,7,0.0271816755881583,0.00202514776011134,0.991470336924664,-0.000249737790888316,0.000900605359043231,0.0138189609963949,0.000789427019165224,0.0287076613799415,6.75600472874058e-05,0.990934720722818,0.995457041123733
gra2,7,0.0279084922132895,0.00200348948352785,0.991120658457522,2.7181252045489e-05,0.000874924713255869,0.0133645329400228,0.000767916667299624,0.0278880240380738,6.51956549016106e-05,0.991371724233035,0.995676515858959
gra2,7,0.0275101125874636,0.00288214206825618,0.991442208379508,0.000633362831857511,0.000905169229955934,0.0138068010488376,0.000795047434262708,0.0288589983314311,7.16689987964445e-05,0.990242481009648,0.995109280938354
gra2,7,0.0272839301465883,0.00180184245706092,0.991540946427632,0.00168179941002803,0.000890372593799264,0.0135127073090807,0.000784748041161261,0.0284301955451773,7.18235155665427e-05,0.990925894368247,0.995452607796196
gra2,7,0.0271340982031523,0.00172695568836019,0.991603331131327,0.000399298590625384,0.000911152852044257,0.0138550639134719,0.000800884940805197,0.0290455186125067,6.93445417690499e-05,0.990506566767572,0.995241963930165
gra2,7,0.0267930646708626,0.00224391678259775,0.991771632648545,-0.000679275647329997,0.000906467858385129,0.0134540117994115,0.000802482555458495,0.0289014244863976,7.2297176145652e-05,0.990627693623905,0.995302815038672
gra2,7,0.0275319788337099,0.00229873872644691,0.991493305750342,0.000661442150113389,0.000825381155679348,0.0119217305801391,0.00073606741461351,0.0263171355337721,6.3225411119054e-05,0.991845592010857,0.995914450146626
gra2,7,0.0282462690979874,0.0023823796574496,0.991155268753938,0.00108560799737797,0.000848108188925654,0.0131341363487384,0.00074206372374604,0.0270550299362002,6.52157951793445e-05,0.991265199447757,0.995623020750202
