plot,mtry,rmse_trn,rmse_trns_se,rsq_trn,ME,ME.se,MAE,MAE.se,RMSE,RMSE.se,Rsq,cor
cof3,4,0.0305329065208357,0.0035983358570445,0.986324370003795,0.000672366970968291,0.00125551111585489,0.0146382161361955,0.00109834794418158,0.0301920220422545,0.000123495078510432,0.98548947996533,0.992718227880061
cof3,4,0.0313739750924495,0.00176691573586883,0.98546905096637,-0.000259182350943994,0.00120406397545539,0.0141207946208466,0.00105114653805996,0.0289488215378611,0.000111543497836131,0.987294560218392,0.993626972368601
cof3,4,0.0303652574692609,0.00379106417431202,0.98620979178772,-9.78814047211229e-05,0.00128149926566391,0.014761427748993,0.0011248412146499,0.0308094873929109,0.000131323755811598,0.985561049936406,0.992754274700646
cof3,7,0.0293912610793847,0.00301912237183571,0.986922237793237,-0.00225929188255605,0.00145474145525597,0.0164920610247555,0.0012862877734722,0.035047254120097,0.000155349705699262,0.982667988274965,0.991296115333337
cof3,4,0.0319292005874986,0.00397218975809668,0.98481735418804,2.02590673573313e-05,0.00118617241268552,0.0140617904432935,0.00103194255768998,0.0285175261227541,9.61853952510781e-05,0.987504956480824,0.993732839590613
cof3,4,0.0311150566309803,0.00345746468804741,0.985688259887989,-0.000720311703265684,0.00125161934544383,0.0140453433670541,0.00110731575478174,0.0300995900103945,0.000121837336836993,0.985759131747764,0.992854033454951
cof3,4,0.0306122917325402,0.00317498844670483,0.986159087846885,-0.00190892918825574,0.00124376653193851,0.0149306217616583,0.0010805456794167,0.0299630457086163,0.000104760648643779,0.986757409544399,0.99335663764048
cof3,4,0.0302029478709489,0.00427270403229039,0.986208355735587,-0.00141002093473561,0.00137024700368791,0.0166088161406816,0.0011848048949412,0.0329731342001524,0.000133630296699675,0.984578179145659,0.992259129031151
cof3,4,0.0303602546172577,0.00347346655611846,0.986079496603609,0.000183033030105434,0.00127139938867933,0.0148734648090351,0.00111075689464535,0.030567062395475,0.000110640102419602,0.986591882727405,0.99327331723318
cof3,7,0.0295050916908232,0.00330648464724102,0.987075324293233,-5.05247142034022e-05,0.00143038581630752,0.0165629007319683,0.00125355062735593,0.034388844470353,0.000154819775419088,0.981410817453735,0.990661807810181
