plot,mtry,rmse_trn,rmse_trns_se,rsq_trn,ME,ME.se,MAE,MAE.se,RMSE,RMSE.se,Rsq,cor
fer0,4,0.0346595117084798,0.00552608841496272,0.958165871672255,-0.00154195453072991,0.0009150470663917,0.0137516679918721,0.000849564551862578,0.0368167409727358,0.000209719640353286,0.957021154614416,0.978274580378339
fer0,4,0.0350999223463566,0.00634942460013195,0.957666330665824,0.000325575777208623,0.00087792984845438,0.0129648831365158,0.000816585231691119,0.0352938448285112,0.000287206619778363,0.958426624977585,0.978992658285845
fer0,7,0.0348327363691223,0.00362436914113014,0.95908413416666,-0.000914693877553327,0.000753362167908924,0.0122060523603404,0.000689838333595799,0.0302985944796868,9.7331153228976e-05,0.96848914546611,0.984118461094044
fer0,7,0.0339713593317192,0.00659304970259838,0.960289001558297,-0.0015307029478466,0.000805696846901973,0.0124586889301184,0.000744678453590622,0.0324247631391923,0.000126054846234279,0.965750247488423,0.982725926944244
fer0,4,0.0354002752070777,0.00608628630475646,0.95896890537242,0.000659305830223366,0.00084106381682585,0.0128016529162456,0.000778617368539313,0.0338167746545884,0.000200397824351009,0.95635441026678,0.97793374533594
fer0,4,0.0346228768975903,0.0060936830548949,0.958436074663433,-6.16441381748011e-05,0.000901504570953061,0.0132791350826046,0.000838805331813075,0.0362400876679649,0.000239405511412324,0.957161117497089,0.978346113344909
fer0,7,0.0356759080718051,0.00655441338909014,0.955746329118369,-0.00105351061636791,0.000864546598016844,0.013014796949083,0.000802066217214356,0.0347703070157437,0.00017045034865822,0.958662712033535,0.97911322738156
fer0,4,0.0350216243440749,0.00597104811162235,0.958614906680751,0.000372251573068033,0.000820789825325229,0.0133849340833014,0.000750278308754293,0.032997442416091,0.000138580226066732,0.961960383926792,0.980795791144513
fer0,4,0.0340823971523716,0.00551644780266653,0.959844153212176,-0.00289302119614815,0.000935575207094031,0.0126778337085859,0.000883753411281992,0.03772076266644,0.000408391531407245,0.954995102233494,0.977238508366046
fer0,7,0.0341469103610502,0.00470081663240849,0.959495540017502,0.00127732426303832,0.00090893337283875,0.013417138734282,0.000846032640414888,0.0365609890089033,0.00018928102211817,0.954208638468275,0.976836034587317
