plot,mtry,rmse_trn,rmse_trns_se,rsq_trn,ME,ME.se,MAE,MAE.se,RMSE,RMSE.se,Rsq,cor
sav0,4,0.0695423865563497,0.00983909054140362,0.899100000179649,0.00154530211047011,0.00236754386223203,0.03444189346811,0.00205831100878657,0.0696486989566941,0.000963118847932907,0.903594739674395,0.950576004154531
sav0,7,0.0668082869419951,0.0108884929272388,0.909193333807547,-0.00117044345633812,0.00244292790916608,0.034539254279849,0.00214250692047158,0.0718581981641651,0.00100128673445318,0.883118026178302,0.939743595976212
sav0,7,0.0695408803217549,0.00878090168317143,0.901624977929629,0.000319480859146236,0.00242244854210787,0.0356251214618074,0.00209789187916726,0.0712470653458318,0.000906952119535732,0.898729059950036,0.948013217181087
sav0,7,0.0700726593530067,0.0107922082610847,0.899274910442453,0.00139740596265448,0.00227560003819512,0.0336150487804471,0.00196832101089754,0.0669419919048616,0.000805184611748572,0.902182367539694,0.949832810309106
sav0,7,0.0727765455941808,0.00596464200383257,0.888994640864803,0.00110093559314715,0.00217185424766688,0.0311973611319396,0.00189556806585268,0.0638856366049463,0.000827419374822962,0.921505325014366,0.959950688845196
sav0,4,0.0690873349703394,0.00987443070903971,0.900603437906089,-0.000946042188372745,0.00240075711514171,0.0353896246998678,0.00207768587847911,0.0706147224998352,0.00103789620868284,0.903350757265269,0.950447661507602
sav0,4,0.0704061079008378,0.00774582358017615,0.895756423214293,0.000292291011428448,0.00225552344980128,0.0343020026461205,0.00193060144173368,0.066337578733606,0.000880066760091833,0.913675281514513,0.955863631233302
sav0,7,0.0692056428466615,0.00734240599671075,0.901272835037866,-0.00286414581505203,0.00245415579782106,0.0361974692673249,0.00212546855441486,0.0722356914511896,0.00090729177320777,0.890239345153945,0.943524957356161
sav0,4,0.0684097232545153,0.0144473041205177,0.901733326872942,-0.00579420150622678,0.00271896790094106,0.0373555636704774,0.00241213092898186,0.0801768859908242,0.00120589114208782,0.867942037713495,0.931634068566352
sav0,7,0.0729470392854058,0.0194912913534452,0.887643787962128,-6.50258908396586e-05,0.00194526803719991,0.0317831987508258,0.00161748077068167,0.0572120863147254,0.000376708232626735,0.931878030303894,0.965338298372075
