plot,mtry,rmse_trn,rmse_trns_se,rsq_trn,ME,ME.se,MAE,MAE.se,RMSE,RMSE.se,Rsq
gra1,9,0.0616745677318243,0.0137750942303834,0.908362815764027,0.00253349326827499,0.00299248657336205,0.0265880121080692,0.002761017859146,0.0686784966871146,0.00152803207206885,0.903643001986858
gra1,5,0.0682775525084185,0.0143805272738387,0.896588301932436,-0.000825898097264141,0.00195903305113291,0.0212242578947513,0.00172705011534533,0.0449374056690396,0.000337033915150264,0.949258908234907
gra1,9,0.0607353883049979,0.0152420156941772,0.917443090379361,0.00213717990422001,0.00279110836746769,0.025463579109063,0.00256247565889069,0.064048871428853,0.0012128448663796,0.903747815248747
gra1,9,0.0579808829969737,0.0143586120772843,0.922492563421401,0.000376504924550702,0.00326898445422426,0.0281626149814765,0.00302963226625515,0.0749740900601609,0.00174880868256218,0.877684555954184
gra1,9,0.0661343513182777,0.0128965914020456,0.89877088056297,-0.00209500316255519,0.00239133737711943,0.0261550031625555,0.00210387697938787,0.0548845799800523,0.000501722591291612,0.938958691243638
gra1,5,0.0629219752939961,0.0121640284179626,0.910477605801321,0.00306342055688361,0.00322706146819743,0.0301179430110267,0.00295080674113087,0.0740750259802738,0.00136891443567313,0.880508783309004
gra1,9,0.0630598458925613,0.0174574809744933,0.907968959758066,0.000134849552724538,0.00248703533774379,0.0257554820637933,0.002219069049875,0.0570395435995581,0.000627974921898324,0.923191847443553
gra1,9,0.067055562660229,0.0175601589557137,0.895940490420363,-0.000224563115568868,0.00258305745160495,0.0265785524532397,0.00230852310201102,0.0592420472172796,0.000710554739535179,0.924355819697544
gra1,5,0.0664089971412212,0.0153612608920745,0.899379484600873,-0.00216182127192903,0.00241073296012349,0.0255180522258572,0.00214068929805907,0.0553316603966963,0.000503167482484844,0.930472556069108
gra1,5,0.0626127717111475,0.0159203213616848,0.912072973546251,9.38577382980966e-05,0.00339446468095353,0.0293765331442752,0.00314352660241419,0.0778510513520645,0.00161580952737236,0.86473760988391
