plot,mtry,rmse_trn,rmse_trns_se,rsq_trn,ME,ME.se,MAE,MAE.se,RMSE,RMSE.se,Rsq
mai0,5,0.0418765524276137,0.00516223867895218,0.956842791500871,-0.00127548570086374,0.00144524632966816,0.019810061628936,0.00124867202828441,0.0392824990981549,0.000187389184289775,0.965046910407496
mai0,9,0.0397586039197802,0.00297243480114009,0.961340246040403,0.00460186849160454,0.00162704168692248,0.0208222003428839,0.00144515566763119,0.0444393801266385,0.000328856809844028,0.956170826207755
mai0,5,0.0410823240409756,0.00539243759044505,0.958262577861985,0.000676729395247644,0.00143076800895562,0.0202769276078005,0.00122090076586438,0.0388743568321986,0.00014525563131408,0.965489976651005
mai0,9,0.0399172186188923,0.00356420705447761,0.961328133356208,-0.00196912365487441,0.0015592051916289,0.0203346175655648,0.00136970114669944,0.0424033562376241,0.000251858735545784,0.957355868105023
mai0,5,0.0418004796947678,0.00242387771286898,0.958859518826904,0.00245307734890289,0.00148584567473335,0.0212952968569545,0.00126546696431021,0.0404391860315347,0.00018369604285097,0.959045464699887
mai0,9,0.0401053919892567,0.00434996159223852,0.960699529341374,0.000857242305131524,0.00147377249369314,0.0205545735335181,0.0012651169002627,0.0400459089344539,0.000165495348412935,0.96240061897981
mai0,5,0.0404881280562949,0.00290260197129404,0.960397529700979,0.0017607468024383,0.00151090634899286,0.0216271982625705,0.00128578794146038,0.041083265083576,0.000161976170365988,0.961048877216135
mai0,5,0.0409789409925504,0.00619943040422799,0.959201261206816,-0.00215016098545871,0.00155128971494965,0.0219320906630583,0.00132701931254784,0.0421973936361989,0.000175764899092009,0.958165203101126
mai0,5,0.0418466683811463,0.00396022002280746,0.958142842825011,-0.00125464263446664,0.00142835234958068,0.0199109560939738,0.00122683880920529,0.0388231202872732,0.00015896121067822,0.963021671103588
mai0,5,0.0404959738826104,0.0029932224430768,0.96058768373304,-0.00107886593634884,0.00155112573058644,0.0214863190605816,0.00133491949688557,0.0421519315499189,0.000212893987028051,0.957013246659201
