plot,mtry,rmse_trn,rmse_trns_se,rsq_trn,ME,ME.se,MAE,MAE.se,RMSE,RMSE.se,Rsq
fed1,5,0.0566324184404591,0.0164310622905795,0.800206704406992,0.00712822705446982,0.00470616852713533,0.0311441979845246,0.00409928409251575,0.0621310827230422,0.00100576493002869,0.80177289488886
fed1,9,0.0570621150858,0.015594238066969,0.810342331667963,0.00342346782579441,0.00434764932464783,0.0280539887604367,0.0037940032597375,0.0571215680087066,0.000869727612768664,0.836853147886902
fed1,5,0.053843276657979,0.0156803152621416,0.83722903506421,0.000184201914548745,0.0046103193486753,0.0276346699085543,0.00410064274799878,0.0604640519961219,0.00136203247800209,0.796612778359569
fed1,9,0.0581627868478465,0.0149560136888436,0.811676166490923,0.00252406070893357,0.00334636215107435,0.0240378799278221,0.00280637897763849,0.0439596508357263,0.000432549465508652,0.891267957090513
fed1,5,0.0561226510539153,0.0169962049676867,0.809724268892284,0.000899435750986347,0.00511336396394039,0.0306582984601034,0.00454823897493096,0.067067171115522,0.00128908783367016,0.752832642290389
fed1,9,0.0553437889044887,0.0104956063600373,0.829296802123262,0.00776830044040737,0.0048209247487192,0.0328106319845857,0.00416331932012522,0.0637012774297056,0.000880532010986098,0.764361034708633
fed1,5,0.0551039343867825,0.0158471467273207,0.837306805339403,-0.00405587211364957,0.0044471267472215,0.0258739508823439,0.00399754416540246,0.0584643749920324,0.00135430045225955,0.824733317756497
fed1,9,0.0528987394721252,0.0125763566910943,0.845739608971664,0.00323032594733463,0.00484979663437389,0.0282976664219959,0.00435035937615902,0.0636864641633442,0.00135939825646891,0.770962231602936
fed1,9,0.0549493290555782,0.0165155182019852,0.832771119425219,0.0032410054898003,0.00419287841521179,0.0241712877786953,0.00377418743859324,0.0550845130159261,0.00103242533778548,0.795172048596276
fed1,9,0.0529327855193467,0.0201549125912396,0.828823473135253,-0.00199914529620456,0.0046613287780887,0.0270974688579992,0.0041811713555189,0.0611654328034606,0.00137179971601878,0.808758687141265
