plot,mtry,rmse_trn,rmse_trns_se,rsq_trn,ME,ME.se,MAE,MAE.se,RMSE,RMSE.se,Rsq
gra2,9,0.0329719573158801,0.0085801593301403,0.983084370099111,0.00103555607520754,0.0034359864486136,0.0180812108607334,0.00297831276578929,0.0362151721729463,0.00033765460625601,0.981231740423321
gra2,9,0.0333349880576953,0.00700319665979656,0.98361542572317,0.00558326282596341,0.00345148599082245,0.0178160882700304,0.00305516205909777,0.0367897905574553,0.000506472232294549,0.979979490033618
gra2,9,0.0326122108327876,0.0074330910682011,0.981258701075628,-0.00124407969576723,0.00412488024786887,0.0258225285100151,0.00331984134704038,0.0434761135322275,0.000414959140718161,0.972421160015268
gra2,9,0.0333220450692526,0.0052134823009673,0.982963960098838,0.00575528576152647,0.00349862479301303,0.0189342583380577,0.00305106516547055,0.0373069026895897,0.000481207054369581,0.981407322388111
gra2,9,0.0350473801059164,0.00802723843908063,0.980915658154734,0.000630359717497857,0.00308705619547238,0.0162974753165156,0.00267219638812648,0.0325302632062505,0.000276610784388478,0.984024917014054
gra2,9,0.0353384601306715,0.0110278086077252,0.979341466827565,-0.00505101969954667,0.00272680347786648,0.017560142101285,0.00221072316926383,0.0291693083560723,0.000176813902807998,0.989990685093552
gra2,9,0.0348509190707947,0.0108160538314688,0.980838106371919,-0.00875227802579371,0.00359559382681777,0.021830564566799,0.00305367827636093,0.0388798548354768,0.000304799429515888,0.98138861624068
gra2,9,0.030972763646146,0.00868872950763745,0.984117093420415,0.00480826003873753,0.00364251519599196,0.0203680164635299,0.00312069819475955,0.0386763253992246,0.000411806524351552,0.977496923036592
gra2,9,0.0343370066103152,0.00709803047085396,0.98345850477617,-0.00146776485733187,0.00342356397535263,0.0219724612859033,0.0027185929741764,0.0360993359528441,0.000282369122186332,0.977906477923779
gra2,9,0.0362364584841959,0.00623913820035174,0.982235790802394,-0.00181294103127374,0.0034266097330587,0.0201175408753781,0.00285047005364904,0.036147065971414,0.000307809934458013,0.980995285308147
