"","plot","mtry","rmse_trn","rmse_trns_se","rsq_trn","ME","ME.se","MAE","MAE.se","RMSE","RMSE.se","Rsq"
"2","fer0",5,0.0623195293874584,0.0151581375115924,0.880440619879439,-3.9030019516384e-05,0.0011362623948782,0.0170382554329194,0.00104951283504252,0.0444596865429162,0.000487298814664755,0.93704773343765
"21","fer0",5,0.0562871066698184,0.0287775174841991,0.890270509205885,-0.000795797898794079,0.00145009531519589,0.0179792521447223,0.00137551854492982,0.056744902838432,0.00131624969137476,0.904988342559052
"22","fer0",5,0.0574646000904383,0.0169911901409401,0.892660429068495,-0.00160251699200132,0.00163062808096025,0.0193758592357744,0.00155415908852229,0.0638233292333196,0.00158747842314641,0.87276226861702
"23","fer0",5,0.0602908646746085,0.0280623462540703,0.874537143758701,-0.00101970564466,0.00147004371877791,0.018447145032948,0.0013926365389864,0.0575289013181026,0.0017952550726309,0.89942064719869
"24","fer0",5,0.0538743531586448,0.01789797556738,0.906145383739362,-0.000549623274897326,0.00176713264640785,0.0198077528078246,0.00169312923432928,0.0691465419398174,0.0015727251484691,0.866717539248251
"25","fer0",5,0.0501800649039026,0.016967555721204,0.924224521351887,-0.00285499114136517,0.00183057428846845,0.0187238039806872,0.00176842812820186,0.0716835781878498,0.00231229581060531,0.822376030453842
"26","fer0",5,0.0580885656103356,0.0265642828146834,0.893599432600219,-0.00247567263458904,0.00139467752445124,0.0179591626258858,0.00131850726511592,0.0546270623237355,0.00150050108137777,0.902048241972386
"27","fer0",5,0.0601814928881226,0.0196985803890656,0.883972805110144,0.000798975817480991,0.00125651683849687,0.0164539870073357,0.00118423687587221,0.0491714763051139,0.000909632308982911,0.925352654827136
"28","fer0",5,0.0633531617159349,0.0195393929050987,0.874486822571622,-0.000715357505491576,0.000998421811324213,0.0174209454909033,0.000893840521515149,0.0390727927830314,0.000189931029223623,0.953737756787
"29","fer0",5,0.0553361200352915,0.0185000341953304,0.896120938372297,-0.00516428250238314,0.00181589539237832,0.0199936415723819,0.00174751105693614,0.0712397760118146,0.00223833950624685,0.85148468086914
