plot,mtry,rmse_trn,rmse_trns_se,rsq_trn,ME,ME.se,MAE,MAE.se,RMSE,RMSE.se,Rsq
fer0,5,0.0635839819171006,0.0179069570519437,0.834542522395341,0.0113543016025057,0.005118742827432,0.0302233556832695,0.00465474666254571,0.0682772621884953,0.00136839531977472,0.788071351935526
fer0,9,0.0651726456940019,0.0178002190743289,0.823610621572926,-0.00775458931612249,0.00475805490207227,0.0258392639649092,0.00437348028056679,0.0630610467048232,0.00151938983751438,0.841656197387805
fer0,9,0.0529611569671084,0.0150668134800984,0.884180622294306,-0.00428530755488669,0.00652502300882429,0.0280354785395002,0.0061756611940901,0.0859301980202752,0.00311166542886666,0.681228498938192
fer0,9,0.0634668518843885,0.0214114858012403,0.826705567021639,0.00170997352976934,0.00455435345179243,0.0243564506324882,0.00416292245335388,0.0599275681754164,0.00120439695750072,0.852641235064909
fer0,5,0.0668693656964008,0.0274018966448103,0.811184950645474,0.00346505183056627,0.00437109366092626,0.0274980888523992,0.00384773729603005,0.0575970843733129,0.00113506498186752,0.899614322481326
fer0,9,0.0662883764764961,0.0133497788195041,0.832245556188564,0.00773658698990453,0.00376116621994595,0.0203391881271666,0.00347866698056785,0.050071718754654,0.000926270600073277,0.879710844062461
fer0,9,0.0602137767371179,0.0202678920426239,0.838592573813529,-0.00475656052727617,0.00568686973914886,0.0289949908623731,0.00525468120411419,0.0749501780748237,0.00228193335421886,0.783177930587401
fer0,9,0.0650445746476823,0.0217399156105928,0.820452722799476,-0.00791846780544909,0.00429123318351501,0.023201674382716,0.00395796151255455,0.0569951064486496,0.00144533316150328,0.89773173194193
fer0,9,0.0629623750141916,0.0172919273132052,0.844293369405209,-4.11564951653216e-06,0.0040915799750119,0.0177596660965153,0.00386236614320368,0.0538163324153593,0.0020050099400196,0.848328831243834
fer0,9,0.0600098758168061,0.0157750490296806,0.849708929447226,-0.000389185747734609,0.00490019121361285,0.0241380790914067,0.00454366025530651,0.064453127584554,0.00211878979729901,0.842020080736037
