"","plot","mtry","rmse_trn","rmse_trns_se","rsq_trn","ME","ME.se","MAE","MAE.se","RMSE","RMSE.se","Rsq"
"3","gra2",9,0.0317117143676414,0.00202960641229765,0.988375243086852,0.000330623762375939,0.00103629203121647,0.0180533960396044,0.000866597694413157,0.0329192283718902,7.78024771876611e-05,0.987894428902866
"31","gra2",9,0.031437547796579,0.00257337448158825,0.988486644572611,-0.000652311388281662,0.00101064492072893,0.0174607239295361,0.000848332132795497,0.0321095203069842,7.56699255143094e-05,0.988571735835491
"32","gra2",9,0.0332445310451626,0.00226747027473745,0.987465664583039,0.000405564356435601,0.000986969955282003,0.0172292079207922,0.000824666528232631,0.0313534872432116,8.07383343346354e-05,0.989044108324199
"2","gra2",5,0.0328813938109739,0.00210734054911779,0.987774516129761,-0.0012090366058584,0.00098695402185949,0.0173118569736096,0.000823711007971673,0.0313736627595553,8.21658179942389e-05,0.988664713716608
"33","gra2",9,0.0324192719614438,0.00205502607497548,0.988221155801188,0.000207376944837272,0.000964815016843379,0.0167899629891563,0.000807169298480409,0.0306478194016194,7.17737321002128e-05,0.988542537721531
"21","gra2",5,0.0323471546200104,0.00205288295321586,0.988068405603524,-0.00200002891717739,0.000965558503335066,0.0171560622347951,0.000802846519475419,0.0307358759114241,7.10672939949632e-05,0.98926106471691
"22","gra2",5,0.03184527923477,0.00256264589981485,0.988229568941623,-0.00197488227394184,0.00103529532678023,0.0178832057062852,0.000871059898581163,0.0329451529268234,8.48727143859156e-05,0.988024433673841
"34","gra2",9,0.0319993816869648,0.00280096947884978,0.988170180173656,-0.000579976069035788,0.000968487423670634,0.0168721278842176,0.000810044275433299,0.0307692374467927,6.8619828200734e-05,0.989620818427898
"35","gra2",9,0.0315128761752655,0.00161213067435625,0.98859504761029,-0.000643783906962356,0.00100920273202931,0.0172671499292791,0.00085053271755437,0.0320635466448006,8.29377907706184e-05,0.988236310314418
"36","gra2",9,0.0326209576055976,0.00267162136474842,0.987831496213944,0.000557434936350546,0.000915564808688947,0.0155700832154648,0.000773499693323427,0.0290880384847119,6.73278932498617e-05,0.990156289700595
