plot,mtry,rmse_trn,rmse_trns_se,rsq_trn,ME,ME.se,MAE,MAE.se,RMSE,RMSE.se,Rsq
sav5,2,0.0549657082594434,0.0132145422478483,0.752799924294638,-0.00280423594846212,0.00168734193366468,0.0217086240571784,0.00154210694645358,0.0531114024174158,0.000586281993133552,0.8056560437237
sav5,2,0.0558882359998355,0.0153038714896021,0.721443711353148,-0.00547866521952184,0.0018091620035405,0.0225931711098002,0.00166937002984462,0.0571297306293459,0.000687733935346812,0.859050772719376
sav5,2,0.0556886024602807,0.0155750269268735,0.739425722599698,0.00141136821327078,0.00149829767788659,0.0193071128719412,0.00136734047436593,0.0471163362393029,0.000309962396750902,0.826905144710814
sav5,2,0.0557805266816889,0.0147004144598982,0.771895288309025,0.00164310872500578,0.00170952090769487,0.019356622222238,0.00159560795701747,0.0537595758848778,0.000833805338799218,0.775200467637419
sav5,2,0.0557743299544131,0.012685521024129,0.760927661825679,0.000689829708690562,0.00152375405837145,0.0196333232102581,0.00139002118863178,0.0479003170998442,0.000430491078149255,0.809323842735459
sav5,2,0.052385307151948,0.0121624638992648,0.770600608827332,-0.000334845646766286,0.00178565152643166,0.020703580319229,0.00165976519025289,0.0561284320016932,0.000924332369063034,0.738346926794232
sav5,2,0.05488866268411,0.0108970476568794,0.770355941261559,-0.0012202832622238,0.00151579022955544,0.018542943687376,0.00139682147507155,0.0476606511811955,0.000766427869459641,0.754605462186265
sav5,2,0.0562046086586212,0.013757470604147,0.782393278203652,-0.00195736092201368,0.00156281275065379,0.0180250335386333,0.00145513349172433,0.0491620417706774,0.00076263410547839,0.708186997699758
sav5,2,0.0522751068013282,0.0131740586683378,0.781404053216732,-0.0025948702953211,0.00179577276594725,0.0219388791936098,0.00165663955523347,0.0565051818937376,0.000732318596112227,0.750832526257946
sav5,2,0.0542580500078104,0.0103713030699668,0.793966085061601,0.0013919642614094,0.00146724380568352,0.0170960979453219,0.00136342913282826,0.0461400942478222,0.000729913757357546,0.753837940009191
