plot,mtry,rmse_trn,rmse_trns_se,rsq_trn,ME,ME.se,MAE,MAE.se,RMSE,RMSE.se,Rsq
fed1,5,0.0454527528939643,0.00797558451476672,0.901629072255043,0.000249940434594446,0.0011533003062287,0.017464261422249,0.00105681515408845,0.043613160318846,0.000285783888355583,0.907828131225409
fed1,5,0.0453217126567898,0.00626248537992055,0.903886276434603,-0.000437888922165741,0.0010595419403155,0.0165811081162026,0.000964625456010424,0.0400693323254749,0.000206055813190347,0.919598080247759
fed1,5,0.0448400730489572,0.00632313695632095,0.903630806333802,0.000794791521080742,0.0010045093396226,0.0161274260423947,0.000909723546709286,0.0379941769579009,0.000245483048697377,0.933323812108533
fed1,5,0.0466793162125309,0.00938620984095617,0.897925535725916,-0.00172584439785717,0.00110265315246372,0.0159912951316098,0.00101936285551866,0.0417329057533526,0.000306772502842496,0.913653978406366
fed1,5,0.0453168380567557,0.00739502816718165,0.902354208443115,6.93810522112003e-05,0.00114420157960569,0.017936122924362,0.00104126482477438,0.0432684283058051,0.000279833908664179,0.913488880488448
fed1,5,0.0457929796464691,0.00633157388641039,0.898780273295503,0.00186583291737387,0.00116631315699534,0.0174012210908123,0.00107283310985259,0.0441439787075608,0.00027055849199175,0.91299469428719
fed1,5,0.0440090140402239,0.00598839488628551,0.907050023317312,-0.000252773950950106,0.00126086133357376,0.0173916751522413,0.00117400947466608,0.0476805710667069,0.000382278745533686,0.900447729683579
fed1,5,0.045293003644522,0.00509930892967449,0.90319555770151,0.000805977671292002,0.00111754345278034,0.0172105858374099,0.00102089264128696,0.0422679715324177,0.000250626130763838,0.917194492228775
fed1,5,0.042937724874156,0.00732136700896874,0.911304549736693,0.0016658229343446,0.00129555240410265,0.0185681932381621,0.00119970546832978,0.049020068252589,0.000361531387818698,0.891422762401426
fed1,5,0.0455209879613053,0.00569577429190195,0.904510013010662,0.000178197397757101,0.00105370603139941,0.0156819523476757,0.000968681599072769,0.0398466511413605,0.00023634362801257,0.917918936203835
