plot,mtry,rmse_trn,rmse_trns_se,rsq_trn,ME,ME.se,MAE,MAE.se,RMSE,RMSE.se,Rsq
sav0,5,0.0572325941149795,0.00889180013717792,0.895112388386021,0.000595827710949518,0.00174034456912173,0.0282247203853029,0.00145343792721321,0.0513067396372842,0.000385121065870078,0.913708673394063
sav0,5,0.056924866104206,0.0094527228194093,0.893108728148535,-0.00358041540173918,0.00192117013939033,0.0307071639264214,0.00161881804764933,0.0567468666328507,0.000588835593949831,0.905158425567615
sav0,5,0.0565407219077589,0.0092269664202948,0.898596804393491,-0.00123524408410662,0.00170251231928051,0.0280696205368643,0.00141195805995893,0.0502032290933826,0.000269484934514344,0.918041978226947
sav0,5,0.0572399447180873,0.00843762113988182,0.894406891743924,-0.000601671790202988,0.00183891564780368,0.0289924848101193,0.00155394652694965,0.0542123764389165,0.000513356479873231,0.910390978924662
sav0,5,0.0590627344766519,0.00929736809251686,0.886710507543681,-0.000847620699436685,0.0017553369929614,0.0294852199491513,0.00144277493691252,0.0517521804091227,0.00032450178761838,0.915043467119748
sav0,5,0.054436855846409,0.00681804233349123,0.904815934021277,-0.00166509327508989,0.00206239530721656,0.0318247911098747,0.00175817160455477,0.0608197483718951,0.000533097565942099,0.890086032462384
sav0,5,0.0551715528281227,0.00641103369248463,0.900362217391712,-0.00207840412149814,0.00192448553737904,0.0293236112578463,0.00164897454957883,0.0567695949150971,0.000564101541712899,0.899646250349958
sav0,5,0.0563927489513759,0.00602515388041412,0.901594243351339,0.00344924323217559,0.00173048182452854,0.028884270179424,0.00143114913467721,0.0511290162402939,0.000320971095440907,0.907079367956525
sav0,5,0.0585699692844342,0.00937890666464123,0.894672733184031,-0.00299010842415274,0.00177332535804899,0.0282030424655004,0.00149654704966088,0.0523609599200332,0.000410569254248548,0.905598203853473
sav0,5,0.0549440716530121,0.00934225175101463,0.902500204764194,0.000803440020926272,0.00199473801793143,0.0308505286506945,0.00169837931595045,0.0588079835350994,0.000612131386804598,0.894242861235396
