plot,mtry,rmse_trn,rmse_trns_se,rsq_trn,ME,ME.se,MAE,MAE.se,RMSE,RMSE.se,Rsq
hel1,4,0.030881172700126,0.00523434020045128,0.975471428119498,0.000274416302326017,0.000942788343815728,0.0117437391828741,0.000866924979057644,0.0298744132157725,0.000125005882350277,0.974757564383377
hel1,7,0.0326216534512618,0.00587708998386681,0.971370588140227,0.00019922719734594,0.000988747469577952,0.010419021558873,0.000932489986948949,0.0313300452650064,0.000280295707498716,0.974689700366656
hel1,4,0.0317077485639473,0.0065176132719857,0.973077887779059,0.00100288248291242,0.000955713798613421,0.0120431455509665,0.000877457186633516,0.0302993101174609,0.000114766903544979,0.975510443168508
hel1,4,0.0300943942299136,0.00396095250426146,0.975705496901972,-0.000287731401631614,0.00113963406861277,0.0121314299345451,0.0010734351487689,0.0361115447321732,0.000326622550130352,0.967009462673573
hel1,4,0.0308033751847709,0.00495140821213324,0.975107019044727,0.00214374747474703,0.00108054001726651,0.0129826500254862,0.00100213092051577,0.0343049945207028,0.00025983390972202,0.967651519367933
hel1,7,0.0314643663134078,0.00505897688243754,0.973114413233064,0.00109851077943571,0.00106474124482803,0.0124389684908795,0.000990335471214151,0.0337552268551735,0.000256652089865638,0.969864540854788
hel1,4,0.0318630500159175,0.00494383764572895,0.97330068159562,-0.000283229505008575,0.000972532696500521,0.0123012699027147,0.000891729430583752,0.0308169327496773,0.000176532378155349,0.972855460119822
hel1,4,0.029153236222939,0.0037896427250587,0.976708623246762,0.00222128904401277,0.00122939697997732,0.0135702314747167,0.00115451889949768,0.0390179026490649,0.000359845091585397,0.96424995952848
hel1,4,0.031703810955117,0.00539234809177958,0.973954128802338,-0.00132999552621231,0.00112276112148013,0.012186765831834,0.00105566510667019,0.0356006150810727,0.000319193815175264,0.964647023750088
hel1,4,0.0315691299144816,0.00641505196866785,0.9735491636991,0.000385729773819044,0.000979111640160475,0.01242083215734,0.000897298933903185,0.0310264891628385,0.000180780344756576,0.974700568624263
